key,count,percentage
1,104,16.1
8,65,10.100000000000001
0,63,9.8
2,56,8.7
5,55,8.5
11,54,8.4
7,52,8.0
4,45,7.000000000000001
10,45,7.000000000000001
9,42,6.5
6,38,5.8999999999999995
3,27,4.2
